bedrooms,type,location,area,bathrooms,parking,price
2.0,house,Kirstenhof,275.0,1,1,2250000.0
2.0,apartment,Elfindale,103.0,1,1,1295000.0
1.0,apartment,Oranjezicht,43.0,1,1,1749000.0
2.0,apartment,Gardens,58.0,1,1,1750000.0
4.0,house,Gleemoor,388.0,3,5,2800000.0
1.0,apartment,Oranjezicht,40.0,1,1,2200000.0
1.0,apartment,Claremont Upper,59.0,1,1,1550000.0
1.0,apartment,Claremont,49.0,1,1,1450000.0
1.0,apartment,Woodstock,68.0,1,1,1400000.0
2.0,apartment,Gardens,81.0,1,1,3275000.0
1.0,house,Walmer Estate,135.0,2,2,2750000.0
3.0,house,Rondebosch,199.0,3.5,6,7500000.0
1.0,apartment,Cape Town City Centre,68.0,1,1,2395000.0
2.0,apartment,Newlands,88.0,1,2,1995000.0
4.0,house,Claremont,732.0,3,2,5450000.0
3.0,house,Grassy Park,621.0,2,3,1595000.0
3.0,apartment,Plumstead,169.0,2,2,3945000.0
3.0,house,Rondebosch,199.0,3.5,6,7500000.0
4.0,house,Stonehurst Mountain Estate,1.0,3,5,10200000.0
2.0,apartment,Kenilworth,71.0,1,1,1650000.0
2.0,house,Lakeside,76.0,1,1,1995000.0
3.0,house,Meadowridge,802.0,2,4,3790000.0
3.0,house,Marina Da Gama,725.0,2,4,3150000.0
3.0,house,Wynberg Upper,123.0,2,1,2100000.0
3.0,apartment,Sea Point,198.0,2.5,2,8950000.0
4.0,house,Green Point,545.0,6,3,23000000.0
2.0,house,Woodstock,163.0,1,1,2700000.0
1.0,apartment,Claremont Upper,62.0,1,1,1895000.0
2.0,house,Capricorn,216.0,1,1,1295000.0
3.0,house,Claremont,485.0,1.5,3,3095000.0
2.0,house,Capricorn,216.0,1,1,1295000.0
1.0,apartment,Woodstock,102.0,1,1,2950000.0
0.0,apartment,Oranjezicht,30.0,1,1,1590000.0
1.0,house,Walmer Estate,135.0,2,2,2750000.0
5.0,house,Rondebosch,601.0,4,3,6850000.0
4.0,house,Woodstock,279.0,2,2,2995000.0
3.0,house,Rondebosch,495.0,2,2,5950000.0
3.0,house,Rondebosch,199.0,3.5,6,7500000.0
1.0,apartment,Cape Town City Centre,68.0,1,1,2395000.0
2.0,apartment,Newlands,88.0,1,2,1995000.0
4.0,house,Claremont,732.0,3,2,5450000.0
2.0,apartment,Fresnaye,98.0,2,1,3600000.0
5.0,house,Constantia,1.0,3,2,7990000.0
3.0,house,Grassy Park,621.0,2,3,1595000.0
2.0,house,Rondebosch,140.0,1,2,2400000.0
2.0,apartment,Plumstead,65.0,1,1,1350000.0
2.0,apartment,Mouille Point,87.0,2,2,5300000.0
2.0,apartment,Sea Point,88.0,2,1,3300000.0
3.0,apartment,Sea Point,174.0,2,1,7750000.0
3.0,house,Camps Bay,1.0,2.5,2,12500000.0
2.0,apartment,Tamboerskloof,72.0,1,2,3295000.0
1.0,apartment,Claremont,49.0,1,1,1450000.0
1.0,apartment,Costa Da Gama,46.0,1,2,1150000.0
5.0,house,Stonehurst Mountain Estate,1.0,5,10,17995000.0
3.0,house,Rondebosch,206.0,2,4,3350000.0
3.0,house,Rondebosch,206.0,2,4,3350000.0
1.0,apartment,Sea Point,49.0,1,1,1995000.0
3.0,house,Fresnaye,315.0,3.5,3,18000000.0
2.0,apartment,Green Point,77.0,1,1,2350000.0
2.0,apartment,Rondebosch,82.0,1,1,2395000.0
1.0,apartment,Mowbray,66.0,1,1,1195000.0
2.0,apartment,Fresnaye,277.0,3,3,20000000.0
2.0,apartment,Sea Point,140.0,2,1,7900000.0
2.0,apartment,Observatory,62.0,2,1,1950000.0
5.0,house,Constantia,6.0,5.5,4,30000000.0
2.0,apartment,Sea Point,140.0,2,1,7900000.0
4.0,house,Yorkshire Estate,655.0,3,8,2395000.0
1.0,apartment,Plumstead,30.0,1,1,899000.0
2.0,apartment,Kenilworth Upper,101.0,2,2,2225000.0
2.0,apartment,Clifton,205.0,2,2,16995000.0
4.0,house,Kirstenhof,714.0,2,4,3425000.0
4.0,house,Woodstock,279.0,2,2,2995000.0
3.0,house,Rondebosch,495.0,2,2,5950000.0
5.0,house,Rondebosch,978.0,4,5,9850000.0
4.0,house,Woodstock,279.0,2,2,2995000.0
